customer_id,age,annual_income,tenure_months,monthly_spend,orders_last_12_months,satisfaction_score,complaints_last_year,support_calls,discount_pct,region,customer_segment,payment_method
CUST10001,44.0,118745.04,15.7,100.58,11,8.3,2.0,4,7.3,Port Harcourt,Professional,Bank Transfer
CUST10002,36.0,91458.17,2.0,40.52,9,5.3,1.0,3,2.6,Kano,Professional,Cash
CUST10003,46.0,56833.72,12.9,77.04,7,7.4,,2,1.3,Lagos,Professional,Bank Transfer
CUST10004,56.0,38533.11,3.5,92.81,7,6.4,1.0,4,14.7,Lagos,Business,Bank Transfer
CUST10005,35.0,80749.84,49.5,,10,5.1,0.0,3,6.4,Lagos,Family,Cash
CUST10006,35.0,68289.1,88.5,159.41,8,8.5,3.0,4,11.2,Abuja,Professional,Card
CUST10007,57.0,89989.18,2.3,93.93,8,8.3,2.0,2,21.5,Kano,Family,Card
CUST10008,47.0,77997.57,93.1,67.35,7,4.6,3.0,3,14.3,Kano,Business,USSD
CUST10009,32.0,97962.74,22.2,84.39,6,7.9,0.0,3,8.9,Port Harcourt,Student,Cash
CUST10010,45.0,40974.66,10.7,41.45,4,7.6,3.0,4,4.9,Lagos,Professional,Card
CUST10011,32.0,113511.02,2.4,83.18,8,8.5,2.0,2,14.6,Lagos,Business,Bank Transfer
CUST10012,32.0,61314.29,20.8,65.84,9,7.3,2.0,4,11.2,Lagos,Business,Bank Transfer
CUST10013,41.0,,47.5,111.68,10,9.6,,2,15.5,Lagos,Student,Bank Transfer
CUST10014,18.0,37648.0,36.8,74.21,13,6.8,2.0,3,0.0,Lagos,Student,USSD
CUST10015,18.0,142895.45,1.5,,11,6.5,3.0,4,18.8,Abuja,Professional,Card
CUST10016,31.0,61324.79,2.3,69.29,8,5.2,1.0,4,1.7,Lagos,Student,Cash
CUST10017,26.0,38438.26,15.5,129.71,11,5.3,0.0,4,9.1,Kano,Family,Card
CUST10018,42.0,42148.37,10.5,77.81,1,5.2,1.0,2,20.3,Kano,Student,Cash
CUST10019,27.0,46115.18,7.9,131.45,14,7.4,4.0,0,0.0,Port Harcourt,Student,Cash
CUST10020,21.0,69451.21,9.9,106.15,10,6.5,5.0,3,11.5,Lagos,Professional,Card
CUST10021,56.0,73324.35,48.8,100.96,9,7.6,3.0,2,10.4,Ibadan,Business,Bank Transfer
CUST10022,35.0,40116.92,79.4,100.57,10,4.8,2.0,3,11.8,Ibadan,Professional,Bank Transfer
CUST10023,39.0,54268.19,15.6,96.09,6,5.5,1.0,1,14.1,Lagos,Professional,Cash
CUST10024,21.0,178677.39,71.0,42.49,12,5.4,1.0,3,12.1,Kano,Business,Bank Transfer
CUST10025,31.0,142235.19,11.6,78.96,6,10.0,2.0,3,4.0,Ibadan,Family,USSD
CUST10026,39.0,69917.17,19.4,107.68,11,6.7,1.0,2,12.6,Port Harcourt,Professional,USSD
CUST10027,24.0,56161.7,7.7,84.39,7,6.9,0.0,0,11.9,Abuja,Professional,Cash
CUST10028,43.0,58753.48,30.7,52.33,7,6.9,0.0,5,11.6,Abuja,Professional,Bank Transfer
CUST10029,31.0,77074.16,115.9,92.96,7,9.8,2.0,4,24.5,Abuja,Professional,Cash
CUST10030,34.0,31336.93,27.8,129.82,3,4.1,0.0,2,20.0,Abuja,Professional,USSD
CUST10031,31.0,47740.31,13.3,117.24,5,6.9,2.0,2,23.0,Ibadan,Professional,USSD
CUST10032,60.0,,31.3,85.95,7,4.1,2.0,2,14.1,Kano,Student,USSD
CUST10033,38.0,68504.94,3.9,109.1,14,,1.0,2,22.7,Lagos,Professional,Card
CUST10034,25.0,,65.9,81.11,9,5.7,0.0,5,6.9,Port Harcourt,Professional,USSD
CUST10035,48.0,,21.0,,4,7.7,0.0,6,9.8,Port Harcourt,Student,Bank Transfer
CUST10036,23.0,130715.85,17.9,63.32,12,5.6,2.0,3,8.5,Lagos,Student,Card
CUST10037,41.0,28026.82,26.4,126.19,9,7.7,2.0,3,9.0,Abuja,Business,USSD
CUST10038,18.0,24579.85,29.4,80.5,5,7.2,0.0,1,12.2,Ibadan,Family,Bank Transfer
CUST10039,22.0,62226.55,2.2,79.09,5,6.7,2.0,2,13.2,Port Harcourt,Student,USSD
CUST10040,40.0,97830.58,34.4,80.26,7,9.3,1.0,4,14.6,Lagos,Family,Bank Transfer
CUST10041,47.0,138863.77,8.3,133.27,13,5.9,1.0,3,22.5,Lagos,Student,Bank Transfer
CUST10042,40.0,42731.95,37.5,128.65,10,7.7,2.0,2,2.9,Abuja,Family,USSD
CUST10043,37.0,99544.79,51.9,144.62,10,3.8,2.0,3,4.8,Port Harcourt,Family,USSD
CUST10044,34.0,53847.37,48.9,84.93,5,7.2,1.0,0,0.0,Abuja,Family,Card
CUST10045,20.0,50018.26,24.1,94.32,7,6.5,1.0,2,6.9,Port Harcourt,Family,USSD
CUST10046,29.0,89420.16,22.0,48.85,5,4.9,2.0,1,9.3,Lagos,Student,Bank Transfer
CUST10047,32.0,78736.81,4.6,122.29,11,7.7,0.0,3,7.8,Lagos,Family,Cash
CUST10048,51.0,23111.2,44.8,59.39,7,5.7,3.0,4,5.2,Port Harcourt,Student,Card
CUST10049,42.0,123894.5,9.5,91.18,9,10.0,3.0,5,12.5,Lagos,Professional,Bank Transfer
CUST10050,18.0,117493.55,20.6,59.22,7,2.6,1.0,1,9.7,Ibadan,Business,Bank Transfer
CUST10051,,,10.0,71.08,8,7.4,4.0,6,6.7,Lagos,Professional,Cash
CUST10052,33.0,68376.22,4.3,64.41,6,7.1,0.0,1,12.9,Port Harcourt,Business,USSD
CUST10053,30.0,72171.83,29.8,72.19,2,6.5,0.0,1,8.6,Abuja,Student,Bank Transfer
CUST10054,,63478.66,1.7,71.66,6,6.0,3.0,1,18.9,Abuja,Professional,Cash
CUST10055,50.0,40636.45,41.4,74.61,6,7.1,,2,11.0,Kano,Student,Cash
CUST10056,49.0,38013.46,11.5,106.75,12,8.9,1.0,5,9.9,Abuja,Family,USSD
CUST10057,28.0,54232.4,1.0,,5,4.0,2.0,3,13.6,Kano,Student,Cash
CUST10058,34.0,104829.39,21.5,92.23,5,5.5,4.0,3,0.0,Abuja,Student,Cash
CUST10059,42.0,74166.55,1.4,115.56,6,5.1,0.0,5,19.3,Port Harcourt,Professional,Cash
CUST10060,50.0,44857.7,9.7,72.95,6,5.0,1.0,4,16.7,Kano,Family,Cash
CUST10061,32.0,84079.89,36.8,70.0,9,7.6,,2,7.2,Port Harcourt,Student,Cash
CUST10062,36.0,11480.33,1.9,79.39,12,8.1,0.0,1,5.2,Port Harcourt,Business,Cash
CUST10063,25.0,103456.82,54.9,118.88,10,8.9,1.0,2,5.9,Kano,Student,Bank Transfer
CUST10064,24.0,21125.71,1.0,89.93,5,8.1,4.0,4,3.5,Ibadan,Student,Card
CUST10065,48.0,45059.81,8.5,72.4,10,8.2,4.0,2,1.8,Abuja,Professional,USSD
CUST10066,54.0,29710.92,40.5,100.34,12,4.5,2.0,3,3.3,Port Harcourt,Business,Card
CUST10067,37.0,26984.39,11.4,58.36,4,9.7,0.0,4,0.0,Lagos,Student,USSD
CUST10068,50.0,104145.39,3.2,102.29,8,6.6,1.0,5,9.8,Abuja,Student,Card
CUST10069,42.0,42525.23,13.4,96.29,8,8.9,0.0,0,11.2,Abuja,Family,USSD
CUST10070,30.0,66547.12,9.5,78.06,7,4.5,0.0,5,19.7,Ibadan,Professional,Cash
CUST10071,42.0,53598.81,55.5,68.47,6,6.6,1.0,7,17.9,Abuja,Family,Card
CUST10072,56.0,71500.59,11.3,63.74,6,8.7,2.0,3,7.6,Kano,Professional,Card
CUST10073,38.0,57373.65,46.7,102.1,8,7.1,2.0,3,10.5,Lagos,Professional,USSD
CUST10074,57.0,27158.43,66.7,121.06,9,,5.0,2,18.6,Abuja,Professional,USSD
CUST10075,18.0,95133.38,17.1,70.43,11,9.4,5.0,5,9.3,Ibadan,Professional,Bank Transfer
CUST10076,48.0,41920.17,72.2,102.24,11,4.9,3.0,2,13.0,Lagos,Family,Cash
CUST10077,39.0,23364.39,14.2,33.96,6,7.0,2.0,5,8.4,Lagos,Family,Cash
CUST10078,34.0,43461.25,99.8,78.37,8,8.2,3.0,2,12.2,Abuja,Professional,Bank Transfer
CUST10079,39.0,125555.9,2.8,84.45,10,10.0,1.0,1,12.5,Kano,Business,USSD
CUST10080,18.0,87790.66,34.8,65.05,6,6.2,1.0,3,9.9,Abuja,Professional,Cash
CUST10081,35.0,45402.83,20.4,,7,6.5,3.0,3,18.4,Abuja,Professional,USSD
CUST10082,42.0,45387.71,14.7,69.48,6,6.2,2.0,2,6.8,Port Harcourt,Family,Cash
CUST10083,56.0,46082.53,30.0,94.71,8,7.4,0.0,5,12.7,Lagos,Family,Card
CUST10084,32.0,172352.98,36.5,83.24,8,8.1,0.0,2,22.7,Kano,Student,Card
CUST10085,28.0,67856.67,1.0,29.12,13,9.0,1.0,8,13.9,Lagos,Family,Cash
CUST10086,32.0,69676.01,5.5,,5,8.4,1.0,4,7.2,Abuja,Professional,Cash
CUST10087,49.0,96930.0,37.5,72.82,9,6.1,3.0,6,14.1,Port Harcourt,Family,Cash
CUST10088,42.0,62719.18,32.9,99.08,8,8.5,1.0,4,26.6,Ibadan,Business,Bank Transfer
CUST10089,32.0,47696.59,101.5,24.43,11,7.2,2.0,1,12.2,Kano,Family,Cash
CUST10090,44.0,49369.89,42.9,75.94,7,8.3,2.0,6,16.8,Kano,Student,Bank Transfer
CUST10091,39.0,52876.16,90.3,79.07,8,8.4,3.0,5,12.0,Abuja,Family,Bank Transfer
CUST10092,50.0,53885.47,36.4,122.62,4,9.9,1.0,8,13.7,Lagos,Family,Card
CUST10093,30.0,82066.46,10.6,76.22,7,6.4,1.0,2,11.5,Lagos,Professional,Cash
CUST10094,34.0,56594.03,3.3,94.84,8,6.0,0.0,2,5.9,Ibadan,Professional,Card
CUST10095,33.0,82292.93,45.7,92.19,12,7.8,2.0,5,14.2,Ibadan,Business,Card
CUST10096,20.0,52611.73,31.0,34.22,8,9.1,0.0,4,4.7,Ibadan,Professional,Bank Transfer
CUST10097,42.0,57430.9,1.5,104.32,7,7.1,3.0,4,10.1,Lagos,Professional,USSD
CUST10098,41.0,18326.04,13.4,91.46,9,9.2,1.0,5,23.5,Port Harcourt,Professional,Bank Transfer
CUST10099,38.0,91041.31,94.3,,9,8.2,0.0,3,11.6,Port Harcourt,Family,Card
CUST10100,35.0,66546.56,20.8,739.29,10,6.6,3.0,3,6.5,Kano,Business,Bank Transfer
CUST10101,21.0,95224.64,17.0,,4,8.0,3.0,6,13.4,Port Harcourt,Family,Bank Transfer
CUST10102,33.0,11182.98,18.4,129.59,5,6.2,2.0,2,8.7,Kano,Professional,Bank Transfer
CUST10103,34.0,173458.66,7.0,78.38,10,7.4,0.0,3,12.7,Abuja,Family,Cash
CUST10104,28.0,,13.8,93.29,13,5.1,0.0,3,4.9,Lagos,Family,Bank Transfer
CUST10105,36.0,,13.9,84.97,13,6.9,1.0,2,16.7,Lagos,Family,Card
CUST10106,43.0,31043.36,1.6,74.52,7,8.8,2.0,1,12.7,Lagos,Student,Bank Transfer
CUST10107,61.0,77042.62,43.8,74.26,8,,1.0,1,6.0,Abuja,Family,Cash
CUST10108,40.0,30813.55,16.2,94.53,6,8.1,2.0,2,14.2,Lagos,Professional,Card
CUST10109,41.0,,51.8,51.22,10,7.5,0.0,2,23.6,Abuja,Student,Bank Transfer
CUST10110,37.0,157598.46,57.0,108.32,8,7.3,4.0,1,7.2,Port Harcourt,Family,Card
CUST10111,18.0,49524.02,7.1,75.17,5,4.7,2.0,0,16.5,Ibadan,Business,Cash
CUST10112,38.0,61986.79,32.1,59.32,10,6.6,,2,14.5,Ibadan,Professional,USSD
CUST10113,39.0,88754.17,19.2,75.28,13,7.3,1.0,8,14.4,Lagos,Business,Cash
CUST10114,68.0,72237.42,63.6,,3,5.0,1.0,4,17.4,Lagos,Student,Cash
CUST10115,36.0,59743.69,7.3,72.2,10,3.8,2.0,3,10.3,Lagos,Family,Card
CUST10116,,67226.11,34.0,96.68,1,9.0,2.0,4,12.9,Ibadan,Student,Card
CUST10117,38.0,206275.32,28.1,68.97,5,7.1,3.0,4,12.6,Port Harcourt,Professional,USSD
CUST10118,24.0,53284.36,10.5,104.79,10,7.4,0.0,1,6.9,Lagos,Family,USSD
CUST10119,52.0,61432.42,4.4,102.49,13,8.0,1.0,6,14.8,Ibadan,Family,USSD
CUST10120,47.0,98022.11,31.6,133.75,11,5.2,2.0,2,9.8,Abuja,Family,Cash
CUST10121,47.0,808203.59,40.3,83.83,6,6.3,1.0,1,23.0,Ibadan,Family,Cash
CUST10122,27.0,105657.2,11.4,102.63,9,9.7,2.0,7,9.0,Lagos,Family,USSD
CUST10123,55.0,78150.37,31.1,89.94,11,6.1,2.0,3,4.1,Abuja,Business,USSD
CUST10124,21.0,29332.04,15.1,118.6,8,6.5,1.0,3,18.7,Abuja,Professional,USSD
CUST10125,45.0,135060.19,37.5,70.03,6,5.8,1.0,5,7.5,Ibadan,Professional,Bank Transfer
CUST10126,,29278.2,6.7,104.16,4,5.7,1.0,2,4.7,Ibadan,Student,Bank Transfer
CUST10127,26.0,,66.3,85.43,10,9.0,1.0,2,14.3,Port Harcourt,Professional,USSD
CUST10128,31.0,36324.1,10.2,84.21,13,2.5,4.0,1,20.0,Lagos,Family,Cash
CUST10129,39.0,53093.64,13.8,88.39,6,6.2,2.0,3,16.4,Abuja,Student,Card
CUST10130,32.0,65900.93,1.8,91.45,6,7.4,3.0,2,8.6,Ibadan,Student,Cash
CUST10131,19.0,65633.07,3.5,82.38,8,10.0,0.0,8,12.8,Port Harcourt,Student,Card
CUST10132,39.0,69365.5,21.8,92.11,8,5.0,1.0,0,10.3,Kano,Family,USSD
CUST10133,25.0,133603.22,9.3,125.2,10,4.6,1.0,5,22.0,Abuja,Professional,Bank Transfer
CUST10134,44.0,70582.13,54.1,113.97,7,5.5,1.0,1,9.4,Port Harcourt,Student,Bank Transfer
CUST10135,27.0,48088.69,1.0,106.81,8,8.3,2.0,4,12.6,Abuja,Family,Card
CUST10136,57.0,93464.45,14.3,74.76,8,7.2,1.0,2,13.0,Kano,Family,USSD
CUST10137,29.0,105799.09,12.3,63.76,13,4.4,,4,5.0,Ibadan,Professional,Bank Transfer
CUST10138,34.0,27998.44,1.0,108.96,8,,1.0,4,10.8,Abuja,Family,USSD
CUST10139,48.0,76393.93,4.0,107.22,6,9.8,2.0,3,10.9,Abuja,Student,USSD
CUST10140,23.0,80880.94,16.0,123.1,9,7.5,,2,20.3,Abuja,Business,Card
CUST10141,41.0,46696.69,20.4,71.53,6,7.3,2.0,1,13.2,Lagos,Professional,USSD
CUST10142,54.0,117210.55,15.5,80.5,7,7.4,2.0,2,9.7,Ibadan,Business,USSD
CUST10143,19.0,50643.08,22.7,183.32,6,7.7,2.0,1,11.1,Lagos,Business,Card
CUST10144,40.0,58932.94,27.1,77.36,12,4.7,4.0,2,11.6,Kano,Family,Bank Transfer
CUST10145,41.0,50006.03,1.0,109.99,4,6.6,1.0,1,11.8,Kano,Student,Cash
CUST10146,47.0,55473.29,18.7,74.83,7,6.7,2.0,1,17.6,Kano,Family,USSD
CUST10147,23.0,30095.69,99.3,108.96,6,6.1,1.0,3,17.9,Ibadan,Student,Card
CUST10148,22.0,24910.89,22.0,81.99,10,8.2,3.0,1,6.1,Port Harcourt,Business,Bank Transfer
CUST10149,44.0,132199.34,34.0,95.82,3,5.9,1.0,3,18.4,Ibadan,Family,USSD
CUST10150,42.0,34518.81,11.2,57.2,7,6.4,4.0,2,16.5,Lagos,Business,Cash
CUST10151,41.0,31882.82,44.6,90.7,6,4.7,0.0,3,11.7,Port Harcourt,Family,Bank Transfer
CUST10152,42.0,16826.73,44.5,20.0,7,7.7,2.0,2,3.2,Kano,Professional,Card
CUST10153,30.0,38702.5,22.1,82.1,5,8.7,0.0,4,13.3,Lagos,Professional,USSD
CUST10154,41.0,26566.04,111.9,53.19,10,6.4,2.0,1,9.9,Kano,Professional,Card
CUST10155,42.0,135699.32,4.0,115.47,8,8.5,2.0,3,15.3,Kano,Professional,Cash
CUST10156,29.0,95845.03,1.0,104.52,6,6.7,0.0,3,15.9,Ibadan,Family,Cash
CUST10157,60.0,37669.49,44.1,100.2,7,2.5,3.0,4,19.9,Lagos,Business,Card
